,#,Name,Type,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
454,381,Latios Mega Latios,Dragon Psychic,700,80,130,100,160,120,110
455,382,Kyogre,Water,670,100,100,90,150,140,90
456,382,Kyogre Primal Kyogre,Water,770,100,150,90,180,160,90
457,383,Groudon,Ground,670,100,150,140,100,90,90
458,383,Groudon Primal Groudon,Ground Fire,770,100,180,160,150,90,90
459,384,Rayquaza,Dragon Flying,680,105,150,90,150,90,95
460,384,Rayquaza Mega Rayquaza,Dragon Flying,780,105,180,100,180,100,115
461,385,Jirachi,Steel Psychic,600,100,100,100,100,100,100
462,386,Deoxys Normal Forme,Psychic,600,50,150,50,150,50,150
463,386,Deoxys Attack Forme,Psychic,600,50,180,20,180,20,150
464,386,Deoxys Defense Forme,Psychic,600,50,70,160,70,160,90
465,386,Deoxys Speed Forme,Psychic,600,50,95,90,95,90,180
466,387,Turtwig,Grass,318,55,68,64,45,55,31
467,388,Grotle,Grass,405,75,89,85,55,65,36
468,389,Torterra,Grass Ground,525,95,109,105,75,85,56
469,390,Chimchar,Fire,309,44,58,44,58,44,61
470,391,Monferno,Fire Fighting,405,64,78,52,78,52,81
471,392,Infernape,Fire Fighting,534,76,104,71,104,71,108
472,393,Piplup,Water,314,53,51,53,61,56,40
473,394,Prinplup,Water,405,64,66,68,81,76,50
474,395,Empoleon,Water Steel,530,84,86,88,111,101,60
475,396,Starly,Normal Flying,245,40,55,30,30,30,60
476,397,Staravia,Normal Flying,340,55,75,50,40,40,80
477,398,Staraptor,Normal Flying,485,85,120,70,50,60,100
478,399,Bidoof,Normal,250,59,45,40,35,40,31
479,400,Bibarel,Normal Water,410,79,85,60,55,60,71
480,401,Kricketot,Bug,194,37,25,41,25,41,25
481,402,Kricketune,Bug,384,77,85,51,55,51,65
482,403,Shinx,Electric,263,45,65,34,40,34,45
483,404,Luxio,Electric,363,60,85,49,60,49,60
484,405,Luxray,Electric,523,80,120,79,95,79,70
485,406,Budew,Grass Poison,280,40,30,35,50,70,55
486,407,Roserade,Grass Poison,515,60,70,65,125,105,90
487,408,Cranidos,Rock,350,67,125,40,30,30,58
488,409,Rampardos,Rock,495,97,165,60,65,50,58
489,410,Shieldon,Rock Steel,350,30,42,118,42,88,30
490,411,Bastiodon,Rock Steel,495,60,52,168,47,138,30
491,412,Burmy,Bug,224,40,29,45,29,45,36
492,413,Wormadam Plant Cloak,Bug Grass,424,60,59,85,79,105,36
493,413,Wormadam Sandy Cloak,Bug Ground,424,60,79,105,59,85,36
494,413,Wormadam Trash Cloak,Bug Steel,424,60,69,95,69,95,36
495,414,Mothim,Bug Flying,424,70,94,50,94,50,66
496,415,Combee,Bug Flying,244,30,30,42,30,42,70
497,416,Vespiquen,Bug Flying,474,70,80,102,80,102,40
498,417,Pachirisu,Electric,405,60,45,70,45,90,95
499,418,Buizel,Water,330,55,65,35,60,30,85
500,419,Floatzel,Water,495,85,105,55,85,50,115
501,420,Cherubi,Grass,275,45,35,45,62,53,35
502,421,Cherrim,Grass,450,70,60,70,87,78,85
503,422,Shellos,Water,325,76,48,48,57,62,34
504,423,Gastrodon,Water Ground,475,111,83,68,92,82,39
505,424,Ambipom,Normal,482,75,100,66,60,66,115
506,425,Drifloon,Ghost Flying,348,90,50,34,60,44,70
507,426,Drifblim,Ghost Flying,498,150,80,44,90,54,80
508,427,Buneary,Normal,350,55,66,44,44,56,85
509,428,Lopunny,Normal,480,65,76,84,54,96,105
510,428,Lopunny Mega Lopunny,Normal Fighting,580,65,136,94,54,96,135
511,429,Mismagius,Ghost,495,60,60,60,105,105,105
512,430,Honchkrow,Dark Flying,505,100,125,52,105,52,71
513,431,Glameow,Normal,310,49,55,42,42,37,85
514,432,Purugly,Normal,452,71,82,64,64,59,112
515,433,Chingling,Psychic,285,45,30,50,65,50,45
516,434,Stunky,Poison Dark,329,63,63,47,41,41,74
517,435,Skuntank,Poison Dark,479,103,93,67,71,61,84
518,436,Bronzor,Steel Psychic,300,57,24,86,24,86,23
519,437,Bronzong,Steel Psychic,500,67,89,116,79,116,33
520,438,Bonsly,Rock,290,50,80,95,10,45,10
521,439,Mime Jr.,Psychic Fairy,310,20,25,45,70,90,60
522,440,Happiny,Normal,220,100,5,5,15,65,30
523,441,Chatot,Normal Flying,411,76,65,45,92,42,91
524,442,Spiritomb,Ghost Dark,485,50,92,108,92,108,35
525,443,Gible,Dragon Ground,300,58,70,45,40,45,42
526,444,Gabite,Dragon Ground,410,68,90,65,50,55,82
527,445,Garchomp,Dragon Ground,600,108,130,95,80,85,102
528,445,Garchomp Mega Garchomp,Dragon Ground,700,108,170,115,120,95,92
529,446,Munchlax,Normal,390,135,85,40,40,85,5
530,447,Riolu,Fighting,285,40,70,40,35,40,60
531,448,Lucario,Fighting Steel,525,70,110,70,115,70,90
532,448,Lucario Mega Lucario,Fighting Steel,625,70,145,88,140,70,112
533,449,Hippopotas,Ground,330,68,72,78,38,42,32
534,450,Hippowdon,Ground,525,108,112,118,68,72,47
535,451,Skorupi,Poison Bug,330,40,50,90,30,55,65
536,452,Drapion,Poison Dark,500,70,90,110,60,75,95
537,453,Croagunk,Poison Fighting,300,48,61,40,61,40,50
538,454,Toxicroak,Poison Fighting,490,83,106,65,86,65,85
539,455,Carnivine,Grass,454,74,100,72,90,72,46
540,456,Finneon,Water,330,49,49,56,49,61,66
541,457,Lumineon,Water,460,69,69,76,69,86,91
542,458,Mantyke,Water Flying,345,45,20,50,60,120,50
543,459,Snover,Grass Ice,334,60,62,50,62,60,40
544,460,Abomasnow,Grass Ice,494,90,92,75,92,85,60
545,460,Abomasnow Mega Abomasnow,Grass Ice,594,90,132,105,132,105,30
546,461,Weavile,Dark Ice,510,70,120,65,45,85,125
547,462,Magnezone,Electric Steel,535,70,70,115,130,90,60
548,463,Lickilicky,Normal,515,110,85,95,80,95,50
549,464,Rhyperior,Ground Rock,535,115,140,130,55,55,40
550,465,Tangrowth,Grass,535,100,100,125,110,50,50
551,466,Electivire,Electric,540,75,123,67,95,85,95
552,467,Magmortar,Fire,540,75,95,67,125,95,83
553,468,Togekiss,Fairy Flying,545,85,50,95,120,115,80
554,469,Yanmega,Bug Flying,515,86,76,86,116,56,95
555,470,Leafeon,Grass,525,65,110,130,60,65,95
556,471,Glaceon,Ice,525,65,60,110,130,95,65
557,472,Gliscor,Ground Flying,510,75,95,125,45,75,95
558,473,Mamoswine,Ice Ground,530,110,130,80,70,60,80
559,474,Porygon-Z,Normal,535,85,80,70,135,75,90
560,475,Gallade,Psychic Fighting,518,68,125,65,65,115,80
561,475,Gallade Mega Gallade,Psychic Fighting,618,68,165,95,65,115,110
562,476,Probopass,Rock Steel,525,60,55,145,75,150,40
563,477,Dusknoir,Ghost,525,45,100,135,65,135,45
564,478,Froslass,Ice Ghost,480,70,80,70,80,70,110
565,479,Rotom,Electric Ghost,440,50,50,77,95,77,91
566,479,Rotom Heat Rotom,Electric Fire,520,50,65,107,105,107,86
567,479,Rotom Wash Rotom,Electric Water,520,50,65,107,105,107,86
568,479,Rotom Frost Rotom,Electric Ice,520,50,65,107,105,107,86
569,479,Rotom Fan Rotom,Electric Flying,520,50,65,107,105,107,86
570,479,Rotom Mow Rotom,Electric Grass,520,50,65,107,105,107,86
571,480,Uxie,Psychic,580,75,75,130,75,130,95
572,481,Mesprit,Psychic,580,80,105,105,105,105,80
573,482,Azelf,Psychic,580,75,125,70,125,70,115
574,483,Dialga,Steel Dragon,680,100,120,120,150,100,90
575,484,Palkia,Water Dragon,680,90,120,100,150,120,100
576,485,Heatran,Fire Steel,600,91,90,106,130,106,77
577,486,Regigigas,Normal,670,110,160,110,80,110,100
578,487,Giratina Altered Forme,Ghost Dragon,680,150,100,120,100,120,90
579,487,Giratina Origin Forme,Ghost Dragon,680,150,120,100,120,100,90
580,488,Cresselia,Psychic,600,120,70,120,75,130,85
581,489,Phione,Water,480,80,80,80,80,80,80
582,490,Manaphy,Water,600,100,100,100,100,100,100
583,491,Darkrai,Dark,600,70,90,90,135,90,125
584,492,Shaymin Land Forme,Grass,600,100,100,100,100,100,100
585,492,Shaymin Sky Forme,Grass Flying,600,100,103,75,120,75,127
586,493,Arceus,Normal,720,120,120,120,120,120,120
587,494,Victini,Psychic Fire,600,100,100,100,100,100,100
588,495,Snivy,Grass,308,45,45,55,45,55,63
589,496,Servine,Grass,413,60,60,75,60,75,83
590,497,Serperior,Grass,528,75,75,95,75,95,113
591,498,Tepig,Fire,308,65,63,45,45,45,45
592,499,Pignite,Fire Fighting,418,90,93,55,70,55,55
593,500,Emboar,Fire Fighting,528,110,123,65,100,65,65
594,501,Oshawott,Water,308,55,55,45,63,45,45
595,502,Dewott,Water,413,75,75,60,83,60,60
596,503,Samurott,Water,528,95,100,85,108,70,70
597,504,Patrat,Normal,255,45,55,39,35,39,42
598,505,Watchog,Normal,420,60,85,69,60,69,77
599,506,Lillipup,Normal,275,45,60,45,25,45,55
600,507,Herdier,Normal,370,65,80,65,35,65,60
601,508,Stoutland,Normal,500,85,110,90,45,90,80
602,509,Purrloin,Dark,281,41,50,37,50,37,66
603,510,Liepard,Dark,446,64,88,50,88,50,106
604,511,Pansage,Grass,316,50,53,48,53,48,64
605,512,Simisage,Grass,498,75,98,63,98,63,101
606,513,Pansear,Fire,316,50,53,48,53,48,64
607,514,Simisear,Fire,498,75,98,63,98,63,101
608,515,Panpour,Water,316,50,53,48,53,48,64
609,516,Simipour,Water,498,75,98,63,98,63,101
610,517,Munna,Psychic,292,76,25,45,67,55,24
611,518,Musharna,Psychic,487,116,55,85,107,95,29
612,519,Pidove,Normal Flying,264,50,55,50,36,30,43
613,520,Tranquill,Normal Flying,358,62,77,62,50,42,65
614,521,Unfezant,Normal Flying,488,80,115,80,65,55,93
615,522,Blitzle,Electric,295,45,60,32,50,32,76
616,523,Zebstrika,Electric,497,75,100,63,80,63,116
617,524,Roggenrola,Rock,280,55,75,85,25,25,15
618,525,Boldore,Rock,390,70,105,105,50,40,20
619,526,Gigalith,Rock,515,85,135,130,60,80,25
620,527,Woobat,Psychic Flying,323,65,45,43,55,43,72
621,528,Swoobat,Psychic Flying,425,67,57,55,77,55,114
622,529,Drilbur,Ground,328,60,85,40,30,45,68
623,530,Excadrill,Ground Steel,508,110,135,60,50,65,88
624,531,Audino,Normal,445,103,60,86,60,86,50
625,531,Audino Mega Audino,Normal Fairy,545,103,60,126,80,126,50
626,532,Timburr,Fighting,305,75,80,55,25,35,35
627,533,Gurdurr,Fighting,405,85,105,85,40,50,40
628,534,Conkeldurr,Fighting,505,105,140,95,55,65,45
629,535,Tympole,Water,294,50,50,40,50,40,64
630,536,Palpitoad,Water Ground,384,75,65,55,65,55,69
631,537,Seismitoad,Water Ground,509,105,95,75,85,75,74
632,538,Throh,Fighting,465,120,100,85,30,85,45
633,539,Sawk,Fighting,465,75,125,75,30,75,85
634,540,Sewaddle,Bug Grass,310,45,53,70,40,60,42
635,541,Swadloon,Bug Grass,380,55,63,90,50,80,42
636,542,Leavanny,Bug Grass,500,75,103,80,70,80,92
637,543,Venipede,Bug Poison,260,30,45,59,30,39,57
638,544,Whirlipede,Bug Poison,360,40,55,99,40,79,47
639,545,Scolipede,Bug Poison,485,60,100,89,55,69,112
640,546,Cottonee,Grass Fairy,280,40,27,60,37,50,66
641,547,Whimsicott,Grass Fairy,480,60,67,85,77,75,116
642,548,Petilil,Grass,280,45,35,50,70,50,30
643,549,Lilligant,Grass,480,70,60,75,110,75,90
644,550,Basculin Red-Striped Form,Water,460,70,92,65,80,55,98
645,550,Basculin Blue-Striped Form,Water,460,70,92,65,80,55,98
646,551,Sandile,Ground Dark,292,50,72,35,35,35,65
647,552,Krokorok,Ground Dark,351,60,82,45,45,45,74
648,553,Krookodile,Ground Dark,519,95,117,80,65,70,92
649,554,Darumaka,Fire,315,70,90,45,15,45,50
650,554,Darumaka Galarian Darumaka,Ice,315,70,90,45,15,45,50
651,555,Darmanitan Standard Mode,Fire,480,105,140,55,30,55,95
652,555,Darmanitan Zen Mode,Fire Psychic,540,105,30,105,140,105,55
653,555,Darmanitan Galarian Standard Mode,Ice,480,105,140,55,30,55,95
654,555,Darmanitan Galarian Zen Mode,Ice Fire,540,105,160,55,30,55,135
655,556,Maractus,Grass,461,75,86,67,106,67,60
656,557,Dwebble,Bug Rock,325,50,65,85,35,35,55
657,558,Crustle,Bug Rock,485,70,105,125,65,75,45
658,559,Scraggy,Dark Fighting,348,50,75,70,35,70,48
659,560,Scrafty,Dark Fighting,488,65,90,115,45,115,58
660,561,Sigilyph,Psychic Flying,490,72,58,80,103,80,97
661,562,Yamask,Ghost,303,38,30,85,55,65,30
662,562,Yamask Galarian Yamask,Ground Ghost,303,38,55,85,30,65,30
663,563,Cofagrigus,Ghost,483,58,50,145,95,105,30
664,564,Tirtouga,Water Rock,355,54,78,103,53,45,22
665,565,Carracosta,Water Rock,495,74,108,133,83,65,32
666,566,Archen,Rock Flying,401,55,112,45,74,45,70
667,567,Archeops,Rock Flying,567,75,140,65,112,65,110
668,568,Trubbish,Poison,329,50,50,62,40,62,65
669,569,Garbodor,Poison,474,80,95,82,60,82,75
670,570,Zorua,Dark,330,40,65,40,80,40,65
671,571,Zoroark,Dark,510,60,105,60,120,60,105
672,572,Minccino,Normal,300,55,50,40,40,40,75
673,573,Cinccino,Normal,470,75,95,60,65,60,115
674,574,Gothita,Psychic,290,45,30,50,55,65,45
675,575,Gothorita,Psychic,390,60,45,70,75,85,55
676,576,Gothitelle,Psychic,490,70,55,95,95,110,65
677,577,Solosis,Psychic,290,45,30,40,105,50,20
678,578,Duosion,Psychic,370,65,40,50,125,60,30
679,579,Reuniclus,Psychic,490,110,65,75,125,85,30
680,580,Ducklett,Water Flying,305,62,44,50,44,50,55
681,581,Swanna,Water Flying,473,75,87,63,87,63,98
682,582,Vanillite,Ice,305,36,50,50,65,60,44
683,583,Vanillish,Ice,395,51,65,65,80,75,59
684,584,Vanilluxe,Ice,535,71,95,85,110,95,79
685,585,Deerling,Normal Grass,335,60,60,50,40,50,75
686,586,Sawsbuck,Normal Grass,475,80,100,70,60,70,95
687,587,Emolga,Electric Flying,428,55,75,60,75,60,103
688,588,Karrablast,Bug,315,50,75,45,40,45,60
689,589,Escavalier,Bug Steel,495,70,135,105,60,105,20
690,590,Foongus,Grass Poison,294,69,55,45,55,55,15
691,591,Amoonguss,Grass Poison,464,114,85,70,85,80,30
692,592,Frillish,Water Ghost,335,55,40,50,65,85,40
693,593,Jellicent,Water Ghost,480,100,60,70,85,105,60
694,594,Alomomola,Water,470,165,75,80,40,45,65
695,595,Joltik,Bug Electric,319,50,47,50,57,50,65
696,596,Galvantula,Bug Electric,472,70,77,60,97,60,108
697,597,Ferroseed,Grass Steel,305,44,50,91,24,86,10
698,598,Ferrothorn,Grass Steel,489,74,94,131,54,116,20
699,599,Klink,Steel,300,40,55,70,45,60,30
700,600,Klang,Steel,440,60,80,95,70,85,50
701,601,Klinklang,Steel,520,60,100,115,70,85,90
702,602,Tynamo,Electric,275,35,55,40,45,40,60
703,603,Eelektrik,Electric,405,65,85,70,75,70,40
704,604,Eelektross,Electric,515,85,115,80,105,80,50
705,605,Elgyem,Psychic,335,55,55,55,85,55,30
706,606,Beheeyem,Psychic,485,75,75,75,125,95,40
707,607,Litwick,Ghost Fire,275,50,30,55,65,55,20
708,608,Lampent,Ghost Fire,370,60,40,60,95,60,55
709,609,Chandelure,Ghost Fire,520,60,55,90,145,90,80
710,610,Axew,Dragon,320,46,87,60,30,40,57
711,611,Fraxure,Dragon,410,66,117,70,40,50,67
712,612,Haxorus,Dragon,540,76,147,90,60,70,97
713,613,Cubchoo,Ice,305,55,70,40,60,40,40
714,614,Beartic,Ice,505,95,130,80,70,80,50
715,615,Cryogonal,Ice,515,80,50,50,95,135,105
716,616,Shelmet,Bug,305,50,40,85,40,65,25
717,617,Accelgor,Bug,495,80,70,40,100,60,145
718,618,Stunfisk,Ground Electric,471,109,66,84,81,99,32
719,618,Stunfisk Galarian Stunfisk,Ground Steel,471,109,81,99,66,84,32
720,619,Mienfoo,Fighting,350,45,85,50,55,50,65
721,620,Mienshao,Fighting,510,65,125,60,95,60,105
722,621,Druddigon,Dragon,485,77,120,90,60,90,48
723,622,Golett,Ground Ghost,303,59,74,50,35,50,35
724,623,Golurk,Ground Ghost,483,89,124,80,55,80,55
725,624,Pawniard,Dark Steel,340,45,85,70,40,40,60
726,625,Bisharp,Dark Steel,490,65,125,100,60,70,70
727,626,Bouffalant,Normal,490,95,110,95,40,95,55
728,627,Rufflet,Normal Flying,350,70,83,50,37,50,60
729,628,Braviary,Normal Flying,510,100,123,75,57,75,80
730,629,Vullaby,Dark Flying,370,70,55,75,45,65,60
731,630,Mandibuzz,Dark Flying,510,110,65,105,55,95,80
732,631,Heatmor,Fire,484,85,97,66,105,66,65
733,632,Durant,Bug Steel,484,58,109,112,48,48,109
734,633,Deino,Dark Dragon,300,52,65,50,45,50,38
735,634,Zweilous,Dark Dragon,420,72,85,70,65,70,58
736,635,Hydreigon,Dark Dragon,600,92,105,90,125,90,98
737,636,Larvesta,Bug Fire,360,55,85,55,50,55,60
738,637,Volcarona,Bug Fire,550,85,60,65,135,105,100
739,638,Cobalion,Steel Fighting,580,91,90,129,90,72,108
740,639,Terrakion,Rock Fighting,580,91,129,90,72,90,108
741,640,Virizion,Grass Fighting,580,91,90,72,90,129,108
742,641,Tornadus Incarnate Forme,Flying,580,79,115,70,125,80,111
743,641,Tornadus Therian Forme,Flying,580,79,100,80,110,90,121
744,642,Thundurus Incarnate Forme,Electric Flying,580,79,115,70,125,80,111
745,642,Thundurus Therian Forme,Electric Flying,580,79,105,70,145,80,101
746,643,Reshiram,Dragon Fire,680,100,120,100,150,120,90
747,644,Zekrom,Dragon Electric,680,100,150,120,120,100,90
748,645,Landorus Incarnate Forme,Ground Flying,600,89,125,90,115,80,101
749,645,Landorus Therian Forme,Ground Flying,600,89,145,90,105,80,91
750,646,Kyurem,Dragon Ice,660,125,130,90,130,90,95
751,646,Kyurem Black Kyurem,Dragon Ice,700,125,170,100,120,90,95
752,646,Kyurem White Kyurem,Dragon Ice,700,125,120,90,170,100,95
753,647,Keldeo Ordinary Form,Water Fighting,580,91,72,90,129,90,108
754,647,Keldeo Resolute Form,Water Fighting,580,91,72,90,129,90,108
755,648,Meloetta Aria Forme,Normal Psychic,600,100,77,77,128,128,90
756,648,Meloetta Pirouette Forme,Normal Fighting,600,100,128,90,77,77,128
757,649,Genesect,Bug Steel,600,71,120,95,120,95,99
758,650,Chespin,Grass,313,56,61,65,48,45,38
759,651,Quilladin,Grass,405,61,78,95,56,58,57
760,652,Chesnaught,Grass Fighting,530,88,107,122,74,75,64
761,653,Fennekin,Fire,307,40,45,40,62,60,60
762,654,Braixen,Fire,409,59,59,58,90,70,73
763,655,Delphox,Fire Psychic,534,75,69,72,114,100,104
764,656,Froakie,Water,314,41,56,40,62,44,71
765,657,Frogadier,Water,405,54,63,52,83,56,97
766,658,Greninja,Water Dark,530,72,95,67,103,71,122
767,658,Greninja Ash-Greninja,Water Dark,640,72,145,67,153,71,132
768,659,Bunnelby,Normal,237,38,36,38,32,36,57
769,660,Diggersby,Normal Ground,423,85,56,77,50,77,78
770,661,Fletchling,Normal Flying,278,45,50,43,40,38,62
771,662,Fletchinder,Fire Flying,382,62,73,55,56,52,84
772,663,Talonflame,Fire Flying,499,78,81,71,74,69,126
773,664,Scatterbug,Bug,200,38,35,40,27,25,35
774,665,Spewpa,Bug,213,45,22,60,27,30,29
775,666,Vivillon,Bug Flying,411,80,52,50,90,50,89
776,667,Litleo,Fire Normal,369,62,50,58,73,54,72
777,668,Pyroar,Fire Normal,507,86,68,72,109,66,106
778,669,Flabébé,Fairy,303,44,38,39,61,79,42
779,670,Floette,Fairy,371,54,45,47,75,98,52
780,671,Florges,Fairy,552,78,65,68,112,154,75
781,672,Skiddo,Grass,350,66,65,48,62,57,52
782,673,Gogoat,Grass,531,123,100,62,97,81,68
783,674,Pancham,Fighting,348,67,82,62,46,48,43
784,675,Pangoro,Fighting Dark,495,95,124,78,69,71,58
785,676,Furfrou,Normal,472,75,80,60,65,90,102
786,677,Espurr,Psychic,355,62,48,54,63,60,68
787,678,Meowstic Male,Psychic,466,74,48,76,83,81,104
788,678,Meowstic Female,Psychic,466,74,48,76,83,81,104
789,679,Honedge,Steel Ghost,325,45,80,100,35,37,28
790,680,Doublade,Steel Ghost,448,59,110,150,45,49,35
791,681,Aegislash Shield Forme,Steel Ghost,500,60,50,140,50,140,60
792,681,Aegislash Blade Forme,Steel Ghost,500,60,140,50,140,50,60
793,682,Spritzee,Fairy,341,78,52,60,63,65,23
794,683,Aromatisse,Fairy,462,101,72,72,99,89,29
795,684,Swirlix,Fairy,341,62,48,66,59,57,49
796,685,Slurpuff,Fairy,480,82,80,86,85,75,72
797,686,Inkay,Dark Psychic,288,53,54,53,37,46,45
798,687,Malamar,Dark Psychic,482,86,92,88,68,75,73
799,688,Binacle,Rock Water,306,42,52,67,39,56,50
800,689,Barbaracle,Rock Water,500,72,105,115,54,86,68
801,690,Skrelp,Poison Water,320,50,60,60,60,60,30
802,691,Dragalge,Poison Dragon,494,65,75,90,97,123,44
803,692,Clauncher,Water,330,50,53,62,58,63,44
804,693,Clawitzer,Water,500,71,73,88,120,89,59
805,694,Helioptile,Electric Normal,289,44,38,33,61,43,70
806,695,Heliolisk,Electric Normal,481,62,55,52,109,94,109
807,696,Tyrunt,Rock Dragon,362,58,89,77,45,45,48
808,697,Tyrantrum,Rock Dragon,521,82,121,119,69,59,71
809,698,Amaura,Rock Ice,362,77,59,50,67,63,46
810,699,Aurorus,Rock Ice,521,123,77,72,99,92,58
811,700,Sylveon,Fairy,525,95,65,65,110,130,60
812,701,Hawlucha,Fighting Flying,500,78,92,75,74,63,118
813,702,Dedenne,Electric Fairy,431,67,58,57,81,67,101
814,703,Carbink,Rock Fairy,500,50,50,150,50,150,50
815,704,Goomy,Dragon,300,45,50,35,55,75,40
816,705,Sliggoo,Dragon,452,68,75,53,83,113,60
817,706,Goodra,Dragon,600,90,100,70,110,150,80
818,707,Klefki,Steel Fairy,470,57,80,91,80,87,75
819,708,Phantump,Ghost Grass,309,43,70,48,50,60,38
820,709,Trevenant,Ghost Grass,474,85,110,76,65,82,56
821,710,Pumpkaboo Average Size,Ghost Grass,335,49,66,70,44,55,51
822,710,Pumpkaboo Small Size,Ghost Grass,335,44,66,70,44,55,56
823,710,Pumpkaboo Large Size,Ghost Grass,335,54,66,70,44,55,46
824,710,Pumpkaboo Super Size,Ghost Grass,335,59,66,70,44,55,41
825,711,Gourgeist Average Size,Ghost Grass,494,65,90,122,58,75,84
826,711,Gourgeist Small Size,Ghost Grass,494,55,85,122,58,75,99
827,711,Gourgeist Large Size,Ghost Grass,494,75,95,122,58,75,69
828,711,Gourgeist Super Size,Ghost Grass,494,85,100,122,58,75,54
829,712,Bergmite,Ice,304,55,69,85,32,35,28
830,713,Avalugg,Ice,514,95,117,184,44,46,28
831,714,Noibat,Flying Dragon,245,40,30,35,45,40,55
832,715,Noivern,Flying Dragon,535,85,70,80,97,80,123
833,716,Xerneas,Fairy,680,126,131,95,131,98,99
834,717,Yveltal,Dark Flying,680,126,131,95,131,98,99
835,718,Zygarde 50% Forme,Dragon Ground,600,108,100,121,81,95,95
836,718,Zygarde 10% Forme,Dragon Ground,486,54,100,71,61,85,115
837,718,Zygarde Complete Forme,Dragon Ground,708,216,100,121,91,95,85
838,719,Diancie,Rock Fairy,600,50,100,150,100,150,50
839,719,Diancie Mega Diancie,Rock Fairy,700,50,160,110,160,110,110
840,720,Hoopa Hoopa Confined,Psychic Ghost,600,80,110,60,150,130,70
841,720,Hoopa Hoopa Unbound,Psychic Dark,680,80,160,60,170,130,80
842,721,Volcanion,Fire Water,600,80,110,120,130,90,70
843,722,Rowlet,Grass Flying,320,68,55,55,50,50,42
844,723,Dartrix,Grass Flying,420,78,75,75,70,70,52
845,724,Decidueye,Grass Ghost,530,78,107,75,100,100,70
846,725,Litten,Fire,320,45,65,40,60,40,70
847,726,Torracat,Fire,420,65,85,50,80,50,90
848,727,Incineroar,Fire Dark,530,95,115,90,80,90,60
849,728,Popplio,Water,320,50,54,54,66,56,40
850,729,Brionne,Water,420,60,69,69,91,81,50
851,730,Primarina,Water Fairy,530,80,74,74,126,116,60
852,731,Pikipek,Normal Flying,265,35,75,30,30,30,65
853,732,Trumbeak,Normal Flying,355,55,85,50,40,50,75
854,733,Toucannon,Normal Flying,485,80,120,75,75,75,60
855,734,Yungoos,Normal,253,48,70,30,30,30,45
856,735,Gumshoos,Normal,418,88,110,60,55,60,45
857,736,Grubbin,Bug,300,47,62,45,55,45,46
858,737,Charjabug,Bug Electric,400,57,82,95,55,75,36
859,738,Vikavolt,Bug Electric,500,77,70,90,145,75,43
860,739,Crabrawler,Fighting,338,47,82,57,42,47,63
861,740,Crabominable,Fighting Ice,478,97,132,77,62,67,43
862,741,Oricorio Baile Style,Fire Flying,476,75,70,70,98,70,93
863,741,Oricorio Pom-Pom Style,Electric Flying,476,75,70,70,98,70,93
864,741,Oricorio Pa'u Style,Psychic Flying,476,75,70,70,98,70,93
865,741,Oricorio Sensu Style,Ghost Flying,476,75,70,70,98,70,93
866,742,Cutiefly,Bug Fairy,304,40,45,40,55,40,84
867,743,Ribombee,Bug Fairy,464,60,55,60,95,70,124
868,744,Rockruff,Rock,280,45,65,40,30,40,60
869,744,Rockruff Own Tempo Rockruff,Rock,280,45,65,40,30,40,60
870,745,Lycanroc Midday Form,Rock,487,75,115,65,55,65,112
871,745,Lycanroc Midnight Form,Rock,487,85,115,75,55,75,82
872,745,Lycanroc Dusk Form,Rock,487,75,117,65,55,65,110
873,746,Wishiwashi Solo Form,Water,175,45,20,20,25,25,40
874,746,Wishiwashi School Form,Water,620,45,140,130,140,135,30
875,747,Mareanie,Poison Water,305,50,53,62,43,52,45
876,748,Toxapex,Poison Water,495,50,63,152,53,142,35
877,749,Mudbray,Ground,385,70,100,70,45,55,45
878,750,Mudsdale,Ground,500,100,125,100,55,85,35
879,751,Dewpider,Water Bug,269,38,40,52,40,72,27
880,752,Araquanid,Water Bug,454,68,70,92,50,132,42
881,753,Fomantis,Grass,250,40,55,35,50,35,35
882,754,Lurantis,Grass,480,70,105,90,80,90,45
883,755,Morelull,Grass Fairy,285,40,35,55,65,75,15
884,756,Shiinotic,Grass Fairy,405,60,45,80,90,100,30
885,757,Salandit,Poison Fire,320,48,44,40,71,40,77
886,758,Salazzle,Poison Fire,480,68,64,60,111,60,117
887,759,Stufful,Normal Fighting,340,70,75,50,45,50,50
888,760,Bewear,Normal Fighting,500,120,125,80,55,60,60
889,761,Bounsweet,Grass,210,42,30,38,30,38,32
890,762,Steenee,Grass,290,52,40,48,40,48,62
891,763,Tsareena,Grass,510,72,120,98,50,98,72
892,764,Comfey,Fairy,485,51,52,90,82,110,100
893,765,Oranguru,Normal Psychic,490,90,60,80,90,110,60
894,766,Passimian,Fighting,490,100,120,90,40,60,80
895,767,Wimpod,Bug Water,230,25,35,40,20,30,80
896,768,Golisopod,Bug Water,530,75,125,140,60,90,40
897,769,Sandygast,Ghost Ground,320,55,55,80,70,45,15
898,770,Palossand,Ghost Ground,480,85,75,110,100,75,35
899,771,Pyukumuku,Water,410,55,60,130,30,130,5
900,772,Type: Null,Normal,534,95,95,95,95,95,59
901,773,Silvally,Normal,570,95,95,95,95,95,95
902,774,Minior Meteor Form,Rock Flying,440,60,60,100,60,100,60
903,774,Minior Core Form,Rock Flying,500,60,100,60,100,60,120
904,775,Komala,Normal,480,65,115,65,75,95,65
905,776,Turtonator,Fire Dragon,485,60,78,135,91,85,36
